키워드,뜻,예문,종류
one,하나의 (가산 단수),One employee was promoted last month.,단수
each,각각의 · 하나씩 (가산 단수),Each department must submit a report.,단수
every,모든 · 매 (가산 단수),Every candidate needs to sign the form.,단수
another,또 다른 하나 (가산 단수),We need another copy of the contract.,단수
various,다양한 (복수),Various issues were discussed at the meeting.,복수
many,많은 (복수),Many customers complained about the delay.,복수
multiple,여러 · 다수의 (복수),Multiple factors affected sales.,복수
several,몇몇의 · 여러 (복수),Several employees volunteered for the project.,복수
numerous,수많은 (복수),Numerous complaints were filed last week.,복수
a few,몇몇의 (복수),A few clients canceled their orders.,복수
few,거의 없는 · 소수의 (복수),Few applicants met the requirements.,복수
both,둘 다 (복수),Both teams agreed to the proposal.,복수
a number of,많은 · 다수의 (복수),A number of errors were found in the report.,복수
a variety of,다양한 (복수),A variety of products are on display.,복수
a series of,일련의 (복수),A series of meetings were scheduled.,복수
a selection of,선별된 여러 (복수),A selection of samples were sent to clients.,복수
a collection of,모음 · 여러 (복수),A collection of documents were archived.,복수
a range of,다양한 범위의 (복수),A range of options are available.,복수
an array of,다양한 · 여러 (복수),An array of services are offered online.,복수
a list of,목록의 · 여러 (복수),A list of candidates were interviewed.,복수
much,많은 (불가산),Much effort was required to finish the task.,불가산
a little,조금 (불가산),A little patience is needed during the update.,불가산
little,거의 없는 (불가산),Little progress has been made so far.,불가산
an amount of,일정량의 (불가산),An amount of money was transferred yesterday.,불가산
all,모든 (복수·불가산),All information must be kept confidential.,복수&불가산
most,대부분의 (복수·불가산),Most employees attended the training.,복수&불가산
some,일부 · 약간 (복수·불가산),Some water was spilled on the floor.,복수&불가산
other,다른 (복수·불가산),Other equipment is stored in the warehouse.,복수&불가산
more,더 많은 (복수·불가산),More time is needed to review the plan.,복수&불가산
